ros_time_s,Lecturas_ValidasVerde
1762170912.7344,18.0000
1762170912.8898,16.0000
1762170913.0636,16.0000
1762170913.2190,18.0000
1762170913.3742,16.0000
1762170913.5512,14.0000
1762170913.7121,18.0000
1762170913.8668,16.0000
1762170914.0456,14.0000
1762170914.1995,14.0000
1762170914.3786,15.0000
1762170914.5336,16.0000
1762170914.6882,15.0000
1762170914.8651,15.0000
1762170915.0192,15.0000
1762170915.1863,15.0000
1762170915.3410,16.0000
1762170915.5189,15.0000
1762170915.6758,15.0000
1762170915.8452,14.0000
1762170915.9996,13.0000
1762170916.1774,12.0000
1762170916.3324,12.0000
1762170916.4860,16.0000
1762170916.6621,14.0000
1762170916.8186,13.0000
1762170916.9744,15.0000
1762170917.1350,13.0000
1762170917.3132,14.0000
1762170917.4812,14.0000
1762170917.6406,12.0000
1762170917.7956,16.0000
1762170917.9676,13.0000
1762170918.1235,15.0000
1762170918.3003,15.0000
1762170918.4545,12.0000
1762170918.6076,15.0000
1762170918.7816,12.0000
1762170918.9407,14.0000
1762170919.1077,14.0000
1762170919.2665,12.0000
1762170919.4464,11.0000
1762170919.5989,14.0000
1762170919.7524,11.0000
1762170919.9329,14.0000
1762170920.0861,13.0000
1762170920.2511,14.0000
1762170920.4155,14.0000
1762170920.5833,13.0000
1762170920.7471,14.0000
1762170920.9096,14.0000
1762170921.0646,14.0000
1762170921.2320,14.0000
1762170921.4101,13.0000
1762170921.5652,14.0000
1762170921.7187,11.0000
1762170921.8757,13.0000
1762170922.0533,14.0000
1762170922.2065,14.0000
1762170922.3860,13.0000
1762170922.5399,14.0000
1762170922.6941,13.0000
1762170922.8526,13.0000
1762170923.0314,11.0000
1762170923.1862,13.0000
1762170923.3500,9.0000
1762170923.5236,12.0000
1762170923.6857,14.0000
1762170923.8382,12.0000
1762170923.9978,12.0000
1762170924.1748,13.0000
1762170924.3305,10.0000
1762170924.4889,12.0000
1762170924.6651,12.0000
1762170924.8214,11.0000
1762170924.9960,10.0000
1762170925.1359,11.0000
1762170925.3142,10.0000
1762170925.4685,11.0000
1762170925.6441,11.0000
1762170925.8121,10.0000
1762170925.9561,11.0000
1762170926.1426,24.0000
1762170926.2882,24.0000
1762170926.4666,23.0000
1762170926.6211,24.0000
1762170926.7776,24.0000
1762170926.9546,24.0000
1762170927.1196,22.0000
1762170927.2767,22.0000
1762170927.4323,21.0000
1762170927.6044,22.0000
1762170927.7791,21.0000
1762170927.9327,21.0000
1762170928.0859,25.0000
1762170928.2580,25.0000
1762170928.4141,24.0000
1762170928.5958,27.0000
1762170928.7497,25.0000
1762170928.9015,27.0000
1762170929.0905,27.0000
1762170929.2465,26.0000
1762170929.4017,26.0000
1762170929.5775,21.0000
1762170929.7311,25.0000
1762170929.9072,22.0000
1762170930.0737,24.0000
1762170930.2199,21.0000
1762170930.3855,21.0000
1762170930.5570,18.0000
1762170930.7387,21.0000
1762170930.8830,21.0000
1762170931.0476,21.0000
1762170931.2152,18.0000
1762170931.3928,18.0000
1762170931.5434,17.0000
1762170931.7270,15.0000
1762170931.8864,14.0000
1762170932.0331,15.0000
1762170932.1994,13.0000
1762170932.3790,15.0000
1762170932.5283,16.0000
1762170932.6884,15.0000
1762170932.8652,16.0000
1762170933.0218,14.0000
1762170933.1985,14.0000
1762170933.3526,15.0000
1762170933.5058,13.0000
1762170933.6869,15.0000
1762170933.8551,13.0000
1762170934.0092,11.0000
1762170934.1628,12.0000
1762170934.3470,11.0000
1762170934.5001,14.0000
1762170934.6541,12.0000
1762170934.8342,12.0000
1762170934.9883,12.0000
1762170935.1655,12.0000
1762170935.3196,13.0000
1762170935.4992,14.0000
1762170935.6517,10.0000
1762170935.8057,8.0000
1762170935.9856,12.0000
1762170936.1469,12.0000
1762170936.3209,10.0000
1762170936.4726,10.0000
1762170936.6506,12.0000
1762170936.8032,9.0000
1762170936.9565,10.0000
1762170937.1259,10.0000
1762170937.3040,9.0000
1762170937.4681,8.0000
1762170937.6232,10.0000
1762170937.7762,10.0000
1762170937.9534,10.0000
1762170938.1078,9.0000
1762170938.2875,11.0000
1762170938.4395,10.0000
1762170938.6036,10.0000
1762170938.7841,9.0000
1762170938.9534,8.0000
1762170939.1114,8.0000
1762170939.2651,7.0000
1762170939.4450,6.0000
1762170939.6064,5.0000
1762170939.7607,6.0000
1762170939.9297,4.0000
1762170940.0932,4.0000
1762170940.2710,4.0000
1762170940.4250,5.0000
1762170940.6033,3.0000
1762170940.7475,5.0000
1762170940.9188,4.0000
1762170941.0834,4.0000
1762170941.2629,3.0000
1762170941.4176,3.0000
1762170941.5952,3.0000
1762170941.7490,3.0000
1762170941.9158,3.0000
1762170942.0700,3.0000
1762170942.2472,3.0000
1762170942.4221,3.0000
1762170942.5848,1.0000
1762170942.9102,1.0000
1762170943.0675,1.0000
1762170943.2464,2.0000
1762170943.4003,2.0000
1762170943.5586,3.0000
1762170943.7387,4.0000
1762170943.8912,3.0000
1762170944.0698,2.0000
1762170944.2261,2.0000
1762170944.4035,1.0000
1762170944.8801,2.0000
1762170945.0514,4.0000
1762170945.2252,4.0000
1762170945.3772,3.0000
1762170945.5424,2.0000
1762170945.7158,3.0000
1762170945.8711,3.0000
1762170946.0485,4.0000
1762170946.2027,4.0000
1762170946.3836,2.0000
1762170946.5373,2.0000
1762170946.6999,3.0000
1762170946.8619,5.0000
1762170947.0302,7.0000
1762170947.1993,7.0000
1762170947.3607,8.0000
1762170947.5164,6.0000
1762170947.6894,9.0000
1762170947.8501,6.0000
1762170948.0195,4.0000
1762170948.1893,3.0000
1762170948.3493,6.0000
1762170948.5154,4.0000
1762170948.6878,10.0000
1762170948.8468,12.0000
1762170949.0090,10.0000
1762170949.1652,12.0000
1762170949.3344,13.0000
1762170949.4998,11.0000
1762170949.6659,14.0000
1762170949.8348,12.0000
1762170949.9958,12.0000
1762170950.1619,14.0000
1762170950.3302,14.0000
1762170950.4936,10.0000
1762170950.6650,8.0000
1762170950.8191,8.0000
1762170950.9949,5.0000
1762170951.1535,7.0000
1762170951.3098,5.0000
1762170951.4888,4.0000
1762170951.6424,4.0000
1762170951.8205,4.0000
1762170951.9752,4.0000
1762170952.1531,2.0000
1762170952.3073,5.0000
1762170952.4623,4.0000
1762170952.6399,3.0000
1762170952.8016,5.0000
1762170952.9565,4.0000
1762170953.1259,4.0000
1762170953.2795,4.0000
1762170953.4561,5.0000
1762170953.6119,5.0000
1762170953.7900,4.0000
1762170953.9442,4.0000
1762170954.1232,3.0000
1762170954.2764,3.0000
1762170954.4306,2.0000
1762170954.6089,3.0000
1762170954.7639,3.0000
1762170954.9419,3.0000
1762170955.0961,3.0000
1762170955.2765,6.0000
1762170955.4292,4.0000
1762170955.6078,3.0000
1762170955.7634,4.0000
1762170955.9232,5.0000
1762170956.1007,7.0000
1762170956.2596,6.0000
1762170956.4133,5.0000
1762170956.5790,6.0000
1762170956.7583,6.0000
1762170956.9121,5.0000
1762170957.0664,7.0000
1762170957.2381,9.0000
1762170957.3958,6.0000
