ros_time_s,Lecturas_ValidasVerde
1762169743.9054,14.0000
1762169744.0603,14.0000
1762169744.2396,18.0000
1762169744.3917,13.0000
1762169744.5591,16.0000
1762169744.7171,12.0000
1762169744.8927,16.0000
1762169745.0642,15.0000
1762169745.2189,15.0000
1762169745.3941,15.0000
1762169745.5482,17.0000
1762169745.7029,14.0000
1762169745.8702,15.0000
1762169746.0409,17.0000
1762169746.1978,14.0000
1762169746.3618,17.0000
1762169746.5263,18.0000
1762169746.7055,15.0000
1762169746.8761,19.0000
1762169747.0310,16.0000
1762169747.1865,19.0000
1762169747.3499,19.0000
1762169747.5398,17.0000
1762169747.6825,18.0000
1762169747.8647,21.0000
1762169748.0200,18.0000
1762169748.1969,17.0000
1762169748.3514,18.0000
1762169748.5296,21.0000
1762169748.6745,19.0000
1762169748.8559,19.0000
1762169749.0268,20.0000
1762169749.1873,22.0000
1762169749.3462,22.0000
1762169749.4997,23.0000
1762169749.6786,21.0000
1762169749.8510,21.0000
1762169750.0050,22.0000
1762169750.1620,20.0000
1762169750.3420,21.0000
1762169750.4957,18.0000
1762169750.6506,21.0000
1762169750.8286,23.0000
1762169750.9826,22.0000
1762169751.1614,20.0000
1762169751.3166,20.0000
1762169751.4933,22.0000
1762169751.6482,19.0000
1762169751.8015,22.0000
1762169751.9803,23.0000
1762169752.1511,22.0000
1762169752.3056,23.0000
1762169752.4598,20.0000
1762169752.6399,18.0000
1762169752.7934,22.0000
1762169752.9675,20.0000
1762169753.1354,19.0000
1762169753.2899,18.0000
1762169753.4645,19.0000
1762169753.6195,19.0000
1762169753.7788,18.0000
1762169753.9584,20.0000
1762169754.1107,17.0000
1762169754.2907,19.0000
1762169754.4444,15.0000
1762169754.6088,18.0000
1762169754.7660,19.0000
1762169754.9420,17.0000
1762169755.0940,17.0000
1762169755.2758,17.0000
1762169755.4290,15.0000
1762169755.5997,19.0000
1762169755.7548,18.0000
1762169755.9200,18.0000
1762169756.0970,15.0000
1762169756.2544,18.0000
1762169756.4088,16.0000
1762169756.5876,17.0000
1762169756.7577,16.0000
1762169756.9099,17.0000
1762169757.0902,17.0000
1762169757.2513,18.0000
1762169757.4050,15.0000
1762169757.5614,19.0000
1762169757.7384,18.0000
1762169757.8909,17.0000
1762169758.0711,15.0000
1762169758.2363,14.0000
1762169758.3887,17.0000
1762169758.5686,15.0000
1762169758.7226,19.0000
1762169758.8767,15.0000
1762169759.0564,16.0000
1762169759.2089,17.0000
1762169759.3876,14.0000
1762169759.5420,18.0000
1762169759.7201,13.0000
1762169759.8755,17.0000
1762169760.0294,13.0000
1762169760.2057,16.0000
1762169760.3613,16.0000
1762169760.5396,17.0000
1762169760.6933,16.0000
1762169760.8724,14.0000
1762169761.0261,16.0000
1762169761.1810,15.0000
1762169761.3587,13.0000
1762169761.5159,15.0000
1762169761.6761,15.0000
1762169761.8538,14.0000
1762169762.0091,15.0000
1762169762.1854,16.0000
1762169762.3392,16.0000
1762169762.5177,16.0000
1762169762.6840,12.0000
1762169762.8380,14.0000
1762169762.9899,16.0000
1762169763.1704,18.0000
1762169763.3344,15.0000
1762169763.4936,16.0000
1762169763.6479,14.0000
1762169763.8321,19.0000
1762169763.9860,15.0000
1762169764.1637,12.0000
1762169764.3207,16.0000
1762169764.4748,16.0000
1762169764.6527,14.0000
1762169764.8118,14.0000
1762169764.9772,14.0000
1762169765.1319,14.0000
1762169765.2948,15.0000
1762169765.4653,13.0000
1762169765.6423,12.0000
1762169765.7902,14.0000
1762169765.9604,11.0000
1762169766.1372,14.0000
1762169766.2904,12.0000
1762169766.4586,15.0000
1762169766.6247,11.0000
1762169766.7867,14.0000
1762169766.9418,14.0000
1762169767.1205,16.0000
1762169767.2829,14.0000
1762169767.4321,14.0000
1762169767.6002,12.0000
1762169767.7806,14.0000
1762169767.9356,15.0000
1762169768.1136,16.0000
1762169768.2676,15.0000
1762169768.4451,13.0000
1762169768.6114,12.0000
1762169768.7601,14.0000
1762169768.9229,14.0000
1762169769.1072,11.0000
1762169769.2633,13.0000
1762169769.4187,13.0000
1762169769.5953,14.0000
1762169769.7496,11.0000
1762169769.9284,12.0000
1762169770.0848,12.0000
1762169770.2563,12.0000
1762169770.4150,14.0000
1762169770.5939,12.0000
1762169770.7471,10.0000
1762169770.9262,11.0000
1762169771.0862,11.0000
1762169771.2404,13.0000
1762169771.4299,12.0000
1762169771.5841,13.0000
1762169771.7385,14.0000
1762169771.9166,12.0000
1762169772.0729,12.0000
1762169772.2512,13.0000
1762169772.4056,11.0000
1762169772.5842,14.0000
1762169772.7388,14.0000
1762169772.9158,12.0000
1762169773.0723,12.0000
1762169773.2280,16.0000
1762169773.3951,18.0000
1762169773.5759,19.0000
1762169773.7298,17.0000
1762169773.9102,17.0000
1762169774.0663,16.0000
1762169774.2179,17.0000
1762169774.3940,16.0000
1762169774.5482,16.0000
1762169774.7286,18.0000
1762169774.8812,13.0000
1762169775.0618,14.0000
1762169775.2159,15.0000
1762169775.3838,15.0000
1762169775.5611,15.0000
1762169775.7272,14.0000
1762169775.8914,13.0000
1762169776.0574,13.0000
1762169776.2234,13.0000
1762169776.3791,16.0000
1762169776.5562,12.0000
1762169776.7195,13.0000
1762169776.8745,16.0000
1762169777.0312,13.0000
1762169777.2196,13.0000
1762169777.3735,14.0000
1762169777.5286,12.0000
1762169777.7064,13.0000
1762169777.8616,14.0000
1762169778.0497,16.0000
1762169778.2010,12.0000
1762169778.3806,15.0000
1762169778.5350,12.0000
1762169778.6879,13.0000
1762169778.8747,13.0000
1762169779.0292,13.0000
1762169779.2070,13.0000
1762169779.3635,16.0000
1762169779.5360,15.0000
1762169779.6879,11.0000
1762169779.8678,13.0000
1762169780.0230,13.0000
1762169780.2005,12.0000
1762169780.3569,13.0000
1762169780.5343,12.0000
1762169780.6888,13.0000
1762169780.8675,12.0000
1762169781.0218,10.0000
1762169781.1998,14.0000
1762169781.3534,13.0000
1762169781.5329,13.0000
1762169781.6863,12.0000
1762169781.8659,13.0000
1762169782.0201,11.0000
1762169782.1968,11.0000
1762169782.3523,12.0000
1762169782.5279,11.0000
1762169782.7030,9.0000
1762169782.8606,11.0000
1762169783.0384,13.0000
1762169783.1935,11.0000
1762169783.3717,8.0000
1762169783.5272,7.0000
1762169783.7061,12.0000
1762169783.8590,8.0000
1762169784.0370,9.0000
1762169784.1918,9.0000
1762169784.3695,11.0000
1762169784.5243,9.0000
1762169784.7022,10.0000
1762169784.8617,7.0000
1762169785.0167,10.0000
1762169785.1938,10.0000
1762169785.3482,10.0000
1762169785.5214,8.0000
1762169785.6928,9.0000
1762169785.8471,9.0000
1762169786.0262,12.0000
1762169786.1792,11.0000
1762169786.3662,12.0000
1762169786.5213,10.0000
1762169786.6743,12.0000
1762169786.8530,10.0000
1762169787.0090,12.0000
1762169787.1844,8.0000
1762169787.3391,9.0000
1762169787.5189,9.0000
1762169787.6833,8.0000
1762169787.8366,10.0000
1762169788.0226,12.0000
1762169788.1766,9.0000
1762169788.3551,9.0000
1762169788.5110,10.0000
1762169788.6888,13.0000
1762169788.8416,9.0000
1762169789.0214,13.0000
1762169789.1753,12.0000
1762169789.3539,14.0000
1762169789.5084,11.0000
1762169789.6863,9.0000
1762169789.8395,10.0000
1762169790.0198,12.0000
1762169790.1739,13.0000
1762169790.3520,13.0000
1762169790.5051,14.0000
1762169790.6840,15.0000
1762169790.8381,13.0000
1762169790.9928,14.0000
1762169791.1626,12.0000
1762169791.3406,16.0000
1762169791.4939,12.0000
1762169791.6746,15.0000
1762169791.8288,13.0000
1762169792.0059,14.0000
1762169792.1614,14.0000
1762169792.3416,16.0000
1762169792.5137,12.0000
1762169792.6777,16.0000
1762169792.8323,17.0000
1762169793.0101,15.0000
1762169793.1652,22.0000
1762169793.3394,20.0000
1762169793.5190,20.0000
1762169793.6902,17.0000
1762169793.8445,22.0000
1762169794.0230,19.0000
1762169794.1784,21.0000
1762169794.3570,19.0000
1762169794.5127,21.0000
1762169794.6893,20.0000
1762169794.8448,19.0000
1762169794.9968,22.0000
1762169795.1757,22.0000
1762169795.3299,18.0000
1762169795.5097,21.0000
1762169795.6616,19.0000
1762169795.8390,20.0000
1762169795.9935,19.0000
1762169796.1724,17.0000
1762169796.3270,16.0000
1762169796.5017,18.0000
1762169796.6565,19.0000
1762169796.8337,20.0000
1762169796.9887,20.0000
1762169797.1671,19.0000
1762169797.3217,16.0000
1762169797.4755,18.0000
1762169797.6538,15.0000
1762169797.8095,15.0000
1762169797.9867,13.0000
1762169798.1407,15.0000
1762169798.3188,14.0000
1762169798.4726,14.0000
1762169798.6518,15.0000
1762169798.8057,14.0000
1762169798.9836,15.0000
1762169799.1376,15.0000
1762169799.2919,14.0000
1762169799.4717,14.0000
1762169799.6251,16.0000
1762169799.8039,14.0000
1762169799.9582,15.0000
1762169800.1345,16.0000
1762169800.2916,17.0000
1762169800.4452,17.0000
1762169800.6228,19.0000
1762169800.7763,19.0000
1762169800.9575,19.0000
1762169801.1099,16.0000
1762169801.2879,18.0000
1762169801.4427,14.0000
1762169801.6163,12.0000
1762169801.7698,16.0000
1762169801.9450,14.0000
1762169802.0948,18.0000
1762169802.2732,14.0000
1762169802.4261,18.0000
1762169802.5865,15.0000
1762169802.7551,16.0000
1762169802.9325,16.0000
1762169803.0860,16.0000
1762169803.2412,14.0000
1762169803.4201,17.0000
1762169803.5750,15.0000
1762169803.7526,12.0000
1762169803.9074,18.0000
1762169804.0780,17.0000
1762169804.2325,14.0000
1762169804.3998,16.0000
1762169804.5613,15.0000
1762169804.7388,16.0000
1762169804.8925,16.0000
1762169805.0730,16.0000
1762169805.2270,15.0000
1762169805.4060,11.0000
1762169805.5599,15.0000
