ros_time_s,Imu_Error_yaw
1762168613.2410,-1.2534
1762168613.3963,-1.2370
1762168613.5748,-1.2184
1762168613.7385,-1.2010
1762168613.8939,-1.1868
1762168614.0626,-1.1694
1762168614.2423,-1.1694
1762168614.3973,-1.1552
1762168614.5742,-1.1421
1762168614.7285,-1.1290
1762168614.9075,-1.1192
1762168615.0601,-1.1170
1762168615.2396,-1.1170
1762168615.3950,-1.1126
1762168615.5716,-1.1050
1762168615.7508,-1.0952
1762168615.9044,-1.0832
1762168616.0702,-1.0712
1762168616.2386,-1.0712
1762168616.4166,-1.0614
1762168616.5708,-1.0494
1762168616.7505,-1.0352
1762168616.9040,-1.0221
1762168617.0828,-1.0090
1762168617.2612,-1.0090
1762168617.4161,-0.9948
1762168617.5943,-0.9828
1762168617.7491,-0.9708
1762168617.9263,-0.9643
1762168618.0810,-0.9621
1762168618.2621,-0.9621
1762168618.4318,-0.9588
1762168618.5946,-0.9567
1762168618.7568,-0.9545
1762168618.9301,-0.9501
1762168619.0894,-0.9436
1762168619.2699,-0.9436
1762168619.4230,-0.9370
1762168619.6020,-0.9272
1762168619.7555,-0.9130
1762168619.9388,-0.8999
1762168620.0958,-0.8890
1762168620.2741,-0.8890
1762168620.4334,-0.8803
1762168620.6129,-0.8705
1762168620.7674,-0.8596
1762168620.9412,-0.8519
1762168621.1217,-0.8443
1762168621.2783,-0.8443
1762168621.4461,-0.8356
1762168621.6128,-0.8247
1762168621.7816,-0.8094
1762168621.9580,-0.7963
1762168622.1111,-0.7843
1762168622.2923,-0.7745
1762168622.4451,-0.7745
1762168622.6248,-0.7614
1762168622.7785,-0.7396
1762168622.9559,-0.7156
1762168623.1353,-0.6981
1762168623.2912,-0.6981
1762168623.4689,-0.6839
1762168623.6236,-0.6720
1762168623.8027,-0.6610
1762168623.9686,-0.6490
1762168624.1244,-0.6370
1762168624.2860,-0.6229
1762168624.4506,-0.6229
1762168624.6307,-0.6109
1762168624.8091,-0.6523
1762168624.9568,-0.7527
1762168625.1369,-0.9512
1762168625.2901,-1.1105
1762168625.4662,-1.1105
1762168625.6263,-1.2326
1762168625.8029,-1.3101
1762168625.9572,-1.3417
1762168626.1364,-1.3384
1762168626.2913,-1.3232
1762168626.4692,-1.3232
1762168626.6248,-1.3090
1762168626.8036,-1.2926
1762168626.9556,-1.2774
1762168627.4528,-1.2566
1762168627.9648,-1.2174
1762168628.2993,-1.1999
1762168628.4528,-1.1857
1762168628.6310,-1.1748
1762168628.7859,-1.1650
1762168628.9634,-1.1563
1762168629.1184,-1.1476
1762168629.2894,-1.1476
1762168629.4670,-1.1410
1762168629.6226,-1.1345
1762168629.8009,-1.1236
1762168629.9542,-1.1094
1762168630.1343,-1.0952
1762168630.2879,-1.0952
1762168630.4658,-1.0810
1762168630.6206,-1.0712
1762168630.8000,-1.0592
1762168630.9627,-1.0472
1762168631.1414,-1.0363
1762168631.2972,-1.0363
1762168631.4756,-1.0254
1762168631.6282,-1.0199
1762168631.8073,-1.0145
1762168631.9872,-1.0057
1762168632.1401,-0.9981
1762168632.3213,-0.9981
1762168632.4879,-0.9883
1762168632.6428,-0.9741
1762168632.8219,-0.9610
1762168632.9755,-0.9447
1762168633.1538,-0.9283
1762168633.3086,-0.9283
1762168633.4714,-0.9108
1762168633.6516,-0.8934
1762168633.8049,-0.8847
1762168633.9850,-0.8792
1762168634.1533,-0.8705
1762168634.3331,-0.8705
1762168634.4879,-0.8618
1762168634.6659,-0.8530
1762168634.8205,-0.8432
1762168634.9987,-0.8356
1762168635.1530,-0.8247
1762168635.3312,-0.8247
